Time (s),Channel 1 (V),Channel 2 (V)
0.5537932,2.504485582916045,2.43856544934157
0.5541105599999999,2.502612381081303,2.43856544934157
0.55442792,2.502612381081303,2.439501226931744
0.55474528,2.50073917924656,2.439501226931744
0.5550626399999999,2.499802578329189,2.440437004521918
0.55538,2.498865977411818,2.442308559702267
0.55569736,2.497929376494447,2.442308559702267
0.55601472,2.497929376494447,2.442308559702267
0.55633208,2.497929376494447,2.443244337292441
0.5566494399999999,2.496992775577076,2.445115892472789
0.5569668,2.496992775577076,2.445115892472789
0.55728416,2.496056174659705,2.446051670062964
0.55760152,2.496056174659705,2.446051670062964
0.55791888,2.496056174659705,2.447923225243312
0.5582362399999999,2.495119573742334,2.448859002833487
0.5585536,2.495119573742334,2.448859002833487
0.55887096,2.496056174659705,2.449794780423661
0.55918832,2.495119573742334,2.450730558013835
0.55950568,2.494182972824963,2.450730558013835
0.5598230399999999,2.495119573742334,2.452602113194184
0.5601404,2.495119573742334,2.453537890784358
0.56045776,2.496056174659705,2.454473668374533
0.56077512,2.495119573742334,2.454473668374533
0.56109248,2.496056174659705,2.455409445964706
0.5614098399999999,2.496056174659705,2.455409445964706
0.5617272,2.495119573742334,2.457281001145055
0.56204456,2.497929376494447,2.458216778735229
0.56236192,2.497929376494447,2.459152556325404
0.56267928,2.497929376494447,2.460088333915578
0.5629966399999999,2.498865977411818,2.461024111505752
0.563314,2.499802578329189,2.461024111505752
0.56363136,2.50073917924656,2.461959889095926
0.56394872,2.50073917924656,2.461959889095926
0.56426608,2.502612381081303,2.463831444276275
0.5645834399999999,2.502612381081303,2.464767221866449
0.5649008,2.503548981998673,2.465702999456624
0.56521816,2.504485582916045,2.466638777046797
0.56553552,2.504485582916045,2.466638777046797
0.56585288,2.505422183833416,2.468510332227146
0.5661702399999999,2.506358784750787,2.468510332227146
0.5664876,2.507295385668158,2.46944610981732
0.56680496,2.508231986585529,2.470381887407495
0.56712232,2.510105188420271,2.471317664997668
0.56743968,2.510105188420271,2.472253442587843
0.5677570399999999,2.511978390255013,2.473189220178018
0.5680744,2.512914991172384,2.474124997768191
0.56839176,2.513851592089755,2.475060775358366
0.56870912,2.514788193007127,2.47599655294854
0.56902648,2.515724793924498,2.476932330538714
0.5693438399999999,2.51759799575924,2.477868108128889
0.5696612,2.518534596676611,2.478803885719063
0.56997856,2.518534596676611,2.479739663309237
0.57029592,2.520407798511353,2.479739663309237
0.57061328,2.520407798511353,2.481611218489586
0.5709306399999999,2.522281000346095,2.48254699607976
0.571248,2.522281000346095,2.484418551260108
