Frequency (Hz),Channel 1 Magnitude (dB),Channel 2 Magnitude (dB),Channel 2 Phase (deg)
141.2537544622753,-0.02282246102243477,-32.10779400971158,-167.7129380819379
144.5439770745926,-0.02535597620517734,-32.51966594552808,-166.9385445586002
147.9108388168207,-0.02570806554563968,-32.96843910921932,-167.2221234693019
151.3561248436207,-0.02614687902211606,-33.29363319453837,-167.1907471450427
154.881661891248,-0.02538196488196078,-33.77261060205108,-167.2910855201572
158.4893192461113,-0.03164984996972533,-34.22314092053659,-166.2744228245205
162.181009735893,-0.02784290333056728,-34.54921095017165,-166.7770672646768
165.958690743756,-0.02719826449300753,-34.89991679903817,-166.296984431154
169.8243652461742,-0.02558257679619924,-35.2604927125052,-166.0868197990802
173.7800828749374,-0.02924830574976166,-35.87250523117984,-166.6499873017793
177.8279410038923,-0.02940448857737001,-36.19772259353189,-166.7452467040868
181.9700858609983,-0.02997053560543295,-36.56119920201999,-164.8862647342246
186.2087136662866,-0.02883590858859279,-36.81221489156055,-165.6211423864226
190.5460717963246,-0.03304103617101657,-37.59145728903334,-166.1489669787636
194.9844599758046,-0.03621045754515891,-37.79927873057775,-165.6604859839288
199.5262314968879,-0.03742237768306849,-38.10104449566872,-165.9638742124303
204.1737944669528,-0.03665033628141407,-38.70569688917215,-165.943084745458
208.9296130854038,-0.03723802039191011,-38.92470862595464,-164.3777398486305
213.7962089502233,-0.0389165621825965,-39.48754504126426,-165.525245470044
218.7761623949552,-0.04151165176274243,-39.69345611970609,-165.3048433745287
223.8721138568338,-0.04807957391928724,-40.31929739598635,-162.4155355926031
229.0867652767772,-0.03744120519276971,-40.2768685218646,-163.9511707068136
234.4228815319923,-0.0504029305834058,-41.14145977727851,-163.233707213248
239.883291901949,-0.05128494343398461,-41.2502911260939,-162.5393676419639
245.4708915685029,-0.05486120836465865,-41.90779909740612,-162.0623411847374
251.1886431509579,-0.05476538314627916,-42.01983794412023,-163.7044669295307
257.0395782768865,-0.06019453926238336,-42.92325230052607,-163.2191880961505
263.0267991895381,-0.06146751588275622,-43.20486059143239,-161.1570142048049
269.1534803926914,-0.06379641453705584,-43.38259484482654,-158.9015594422922
